Item No.,Description,Sell,On Hand,Cost,List,OEM,Category,Extended Sell
THR-06094,946ML PERFECT-IT EX MACH.POLIS,160.84,1,91.75,160.84,WEST,WEST,946ML PERFECT-IT EX MACH.POLIS
THR-06147,"2.5""""X 10' MOISTURE SEAL.CMPD. """,105.03,0,56.60,105.03,WEST,WEST,"2.5""""X 10' MOISTURE SEAL.CMPD. """
THR-06404,"1/8"""" 471+INDIGO FINE LINE TAPE""",18.75,0,10.11,18.75,WEST,WEST,"1/8"""" 471+INDIGO FINE LINE TAPE"""
THR-06405,"1/4"""" 471+INDIGO FINE LINE TAPE""",24.98,0,13.46,24.98,WEST,WEST,"1/4"""" 471+INDIGO FINE LINE TAPE"""
THR-06408,"1/2"""" 471+INDIGO FINE LINE TAPE""",37.49,0,20.20,37.49,WEST,WEST,"1/2"""" 471+INDIGO FINE LINE TAPE"""
THR-06409,"3/4"""" 471+INDIGO FINE LINE TAPE""",49.97,0,26.93,49.97,WEST,WEST,"3/4"""" 471+INDIGO FINE LINE TAPE"""
THR-06500,5200 SEALANT WHT 295ML CART,51.47,3,27.74,51.47,WEST,WEST,5200 SEALANT WHT 295ML CART
THR-06502,5200 SEALANT MAH 295ML CART,51.47,0,37.35,51.47,WEST,WEST,5200 SEALANT MAH 295ML CART
THR-06504,5200 SEALANT BLK 295ML CART,51.47,4,32.56,51.47,WEST,WEST,5200 SEALANT BLK 295ML CART
THR-06520,5200 FAST WHT 295ML CART,46.38,0,24.99,46.38,WEST,WEST,5200 FAST WHT 295ML CART
THR-06525,"1/4""""X60Y PRECISION MASKING TPE""",21.94,0,11.83,21.94,WEST,WEST,"1/4""""X60Y PRECISION MASKING TPE"""
THR-06527,"1-1/2""""X60Y PRECISION MASKING  """,33.48,0,18.04,33.48,WEST,WEST,"1-1/2""""X60Y PRECISION MASKING  """
THR-06528,"2""""X60Y PRECISION MASKING TAPE """,44.64,0,24.06,44.64,WEST,WEST,"2""""X60Y PRECISION MASKING TAPE """
THR-06529,"3/4""""X60Y PRECISION MASKING TPE""",21.63,0,11.65,21.63,WEST,WEST,"3/4""""X60Y PRECISION MASKING TPE"""
THR-06541,18MM #2727 MASKNG TAPE,10.44,0,5.62,10.44,WEST,WEST,18MM #2727 MASKNG TAPE
THR-06560,4200 FAST WHT 295ML CART,47.36,0,25.52,47.36,WEST,WEST,4200 FAST WHT 295ML CART
THR-06564,4200 FAST BLK 295ML CART,47.85,0,25.78,47.85,WEST,WEST,4200 FAST BLK 295ML CART
THR-06580,4000UV FAST WHT 295ML CART,41.13,0,22.17,41.13,WEST,WEST,4000UV FAST WHT 295ML CART
THR-06586,4000UV FAST WHT 400ML FLEX,37.68,0,20.30,37.68,WEST,WEST,4000UV FAST WHT 400ML FLEX
THR-06727,12'X400'OVERSPRAY SHEETING,134.69,0,72.58,134.69,WEST,WEST,12'X400'OVERSPRAY SHEETING
THR-06728,16'X350'OVERSPRAY SHEETING,153.74,0,82.85,153.74,WEST,WEST,16'X350'OVERSPRAY SHEETING
THR-06732,12X180 MASKING PAPER,56.70,0,30.55,56.70,WEST,WEST,12X180 MASKING PAPER
THR-07178,DUAL CARTRG RESPRTR MEDIUM P95,133.70,0,72.05,133.70,WEST,WEST,DUAL CARTRG RESPRTR MEDIUM P95
THR-07179,DUAL CARTRG RESPRTR LARGE P95,137.69,0,74.20,137.69,WEST,WEST,DUAL CARTRG RESPRTR LARGE P95
THR-07442,ULTRA FINE SCUFF SPONGE,8.37,6,4.76,8.37,WEST,WEST,ULTRA FINE SCUFF SPONGE
THR-07445,"WHITE 6""""X 9""""LIGHT DUTY PAD    """,5.14,4,2.77,5.14,WEST,WEST,"WHITE 6""""X 9""""LIGHT DUTY PAD    """
THR-07447,"RED 6""""X 9""""GEN.PURPOSE PAD     """,3.79,16,1.93,3.79,WEST,WEST,"RED 6""""X 9""""GEN.PURPOSE PAD     """
THR-07448,"GREY 6""""X 9"""" ULTRA FINE  PAD   """,3.79,8,2.04,3.79,WEST,WEST,"GREY 6""""X 9"""" ULTRA FINE  PAD   """
THR-07480,"2"""" COARSE SURFACE DISC ROLOC  """,4.02,0,2.17,4.02,WEST,WEST,"2"""" COARSE SURFACE DISC ROLOC  """
THR-08017,M.R.SILICONE WHT 88ML TUBE,36.72,0,19.79,36.72,WEST,WEST,M.R.SILICONE WHT 88ML TUBE
THR-08019,M.R.SILICONE CLR 88ML TUBE,36.72,1,19.80,36.72,WEST,WEST,M.R.SILICONE CLR 88ML TUBE
THR-08027,M.R.SILICONE WHT 295ML CART,70.86,2,38.19,70.86,WEST,WEST,M.R.SILICONE WHT 295ML CART
THR-08029,M.R.SILICONE CLR 295ML CART,70.86,2,38.19,70.86,WEST,WEST,M.R.SILICONE CLR 295ML CART
THR-08051,5 OZ FEATHERING DISC ADHES,39.95,0,21.53,39.95,WEST,WEST,5 OZ FEATHERING DISC ADHES
THR-08090,553GR.SUPER TRIM ADHESIVE,80.03,0,43.13,80.03,WEST,WEST,553GR.SUPER TRIM ADHESIVE
THR-08308,HEAVY BODIED SEAM SEALER 200ML,160.92,0,86.72,160.92,WEST,WEST,HEAVY BODIED SEAM SEALER 200ML
THR-08365,URETHANE SEAM SEALER BEIGE 310,34.13,0,18.40,34.13,WEST,WEST,URETHANE SEAM SEALER BEIGE 310
THR-08367,URETHANE SEAM SEALER BLK 310ML,34.13,0,18.40,34.13,WEST,WEST,URETHANE SEAM SEALER BLK 310ML
