Item No.,Description,Sell,On Hand,Cost,List,OEM,Category,Extended Sell
1060864,TFXTREME 3300 CNTRL CABLE 12,138.13,0,74.44,138.13,WEST,WEST,TFXTREME 3300 CNTRL CABLE 12
1060872,TFXTREME 3300 CNTRL CABLE 13,141.06,0,76.02,141.06,WEST,WEST,TFXTREME 3300 CNTRL CABLE 13
1060899,TFXTREME 3300 CNTRL CABLE 14,143.99,0,77.60,143.99,WEST,WEST,TFXTREME 3300 CNTRL CABLE 14
1060902,TFXTREME 3300 CNTRL CABLE 15,147.04,0,79.24,147.04,WEST,WEST,TFXTREME 3300 CNTRL CABLE 15
1060929,TFXTREME 3300 CNTRL CABLE 16,150.12,0,80.90,150.12,WEST,WEST,TFXTREME 3300 CNTRL CABLE 16
1060937,TFXTREME 3300 CNTRL CABLE 17,153.04,0,82.48,153.04,WEST,WEST,TFXTREME 3300 CNTRL CABLE 17
1060945,TFXTREME 3300 CNTRL CABLE 18,156.11,0,84.13,156.11,WEST,WEST,TFXTREME 3300 CNTRL CABLE 18
1060953,TFXTREME 3300 CNTRL CABLE 19,159.03,0,85.71,159.03,WEST,WEST,TFXTREME 3300 CNTRL CABLE 19
1060961,TFXTREME 3300 CNTRL CABLE 20,162.09,0,87.35,162.09,WEST,WEST,TFXTREME 3300 CNTRL CABLE 20
1060988,TFXTREME 3300 CNTRL CABLE 21,165.75,0,89.32,165.75,WEST,WEST,TFXTREME 3300 CNTRL CABLE 21
1060996,TFXTREME 3300 CNTRL CABLE 22,168.72,0,90.93,168.72,WEST,WEST,TFXTREME 3300 CNTRL CABLE 22
1061003,TFXTREME 3300 CNTRL CABLE 23,171.69,0,92.53,171.69,WEST,WEST,TFXTREME 3300 CNTRL CABLE 23
1061011,TFXTREME 3300 CNTRL CABLE 24,174.68,0,94.14,174.68,WEST,WEST,TFXTREME 3300 CNTRL CABLE 24
1061038,TFXTREME 3300 CNTRL CABLE 25,186.47,0,100.49,186.47,WEST,WEST,TFXTREME 3300 CNTRL CABLE 25
1061046,TFXTREME 3300 CNTRL CABLE 26,191.42,0,103.16,191.42,WEST,WEST,TFXTREME 3300 CNTRL CABLE 26
1061054,TFXTREME 3300 CNTRL CABLE 27,196.33,0,105.80,196.33,WEST,WEST,TFXTREME 3300 CNTRL CABLE 27
1061062,TFXTREME 3300 CNTRL CABLE 28,201.34,0,108.50,201.34,WEST,WEST,TFXTREME 3300 CNTRL CABLE 28
1061089,TFXTREME 3300 CNTRL CABLE 29,206.25,0,111.15,206.25,WEST,WEST,TFXTREME 3300 CNTRL CABLE 29
1061097,TFXTREME 3300 CNTRL CABLE 30,210.94,0,113.68,210.94,WEST,WEST,TFXTREME 3300 CNTRL CABLE 30
