Item No.,Description,Sell,On Hand,Cost,List,OEM,Category,Extended Sell
BBS-FLATTOP-27,"ORANGE 27-1/2""""FLAT TOP ONLY   """,230.21,0,135.68,230.21,WEST,WEST,"ORANGE 27-1/2""""FLAT TOP ONLY   """
BBS-MB-0BASE,"PWRBOATSTND 41-58""""BASE ONLY   """,262.74,0,141.60,262.74,WEST,WEST,"PWRBOATSTND 41-58""""BASE ONLY   """
BBS-MB-1BASE,"PWRBOATSTND 33-50""""BASE ONLY   """,229.89,0,123.89,229.89,WEST,WEST,"PWRBOATSTND 33-50""""BASE ONLY   """
BEN-A-1101A,HYDRAULIC CYLINDER,153.73,0,121.97,153.73,WEST,WEST,HYDRAULIC CYLINDER
BEN-AR-512,AUTO TAB RETRACTOR-12V,124.22,1,103.79,124.22,WEST,WEST,AUTO TAB RETRACTOR-12V
BEN-ES-2000,EURO-STYLE W/P ROCKER SWITCH,142.84,0,97.17,142.84,WEST,WEST,EURO-STYLE W/P ROCKER SWITCH
BEN-H-1171-3,"BRASS NIPPLE 1/8""""X 3""""         """,4.31,0,2.49,4.31,WEST,WEST,"BRASS NIPPLE 1/8""""X 3""""         """
BEN-H-1172,"ELBOW 1/8""""NPT/1/4""""TUBE        """,8.11,0,4.29,8.11,WEST,WEST,"ELBOW 1/8""""NPT/1/4""""TUBE        """
BEN-V351HPU1,HYD.POWER UNIT-12V  (V351HPU1),516.31,0,440.27,516.31,WEST,WEST,HYD.POWER UNIT-12V  (V351HPU1)
BEP-1101-BK,SWTICH 10A ON-OFF BLK CNTR1100,38.88,0,20.95,38.88,WEST,WEST,SWTICH 10A ON-OFF BLK CNTR1100
BEP-702B,DISTRIB STUD 10MM SGL BULK,55.56,0,29.94,55.56,WEST,WEST,DISTRIB STUD 10MM SGL BULK
BEP-710-140A,DIG VOLT SENS RELAY 12/24V,248.11,1,133.71,248.11,WEST,WEST,DIG VOLT SENS RELAY 12/24V
BEP-721,BAT SWITCH 3POS 350A HD,137.12,0,73.90,137.12,WEST,WEST,BAT SWITCH 3POS 350A HD
