MARISOL MARINE & YACHT,,,,,,,,,,,,,,,,,
,,,,,,Inventory Price List,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
OEM,,Category,Item No.,,Description,,,Bin Location,,,Min/Max,On Hand,List,Cost,Sell ,Extended Sell,
,,,,,,,,,,,,,,,,,
WEST,,WEST,ABA-13512,,#12 304SS MINI HOSECLAMP,,,,,,0 / 0,2.00,4.64 ,2.50 ,4.64 ,9.28 ,
WEST,,WEST,ABA-13513,,#13 SS 304 MINI CLAMP,,,,,,0 / 0,0.00,4.66 ,2.51 ,4.66 ,0.00 ,
WEST,,WEST,ABA-13514,,#14 SS MINI HSECLP 34/64-38/64,,,,,,0 / 0,0.00,4.66 ,2.38 ,4.66 ,0.00 ,
WEST,,WEST,ABA-13516,,#16 SS 304 MINI CLAMP,,,,,,0 / 0,0.00,4.69 ,2.53 ,4.69 ,0.00 ,
WEST,,WEST,ABA-13517,,#17 SS MINI HOSECLP 5/8-45/84,,,,,,0 / 0,-10.00,4.71 ,2.54 ,4.71 ,0.00 ,
WEST,,WEST,ABA-13614,,#3 SS MINI HOSECLAMP 5/16-9/16,,,,,,0 / 0,5.00,7.67 ,4.19 ,7.67 ,38.35 ,
WEST,,WEST,ABA-13617,,#4 SS MINI HOSECLMP 7/16-11/16,,,,,,0 / 0,11.00,7.67 ,4.19 ,7.67 ,84.37 ,
WEST,,WEST,ABA-13620,,#6 SS MINI HOSECLAMP 1/2-13/16,,,,,,0 / 0,11.00,8.05 ,4.41 ,8.05 ,88.55 ,
WEST,,WEST,ABA-13624,,"#8 SS HOSE CLAMP 5/8""""-1""""      """,,,,,,0 / 0,19.00,8.42 ,4.65 ,8.42 ,159.98 ,
WEST,,WEST,ABA-13628,,"#10 SS HOSE CLAMP 3/4""""-1-1/8"""" """,,,,,,0 / 0,10.00,8.70 ,4.88 ,8.70 ,87.00 ,
WEST,,WEST,ABA-13632,,"#12 SS HOSE CLAMP 7/8""""-1-1/4"""" """,,,,,,0 / 0,14.00,8.70 ,4.88 ,8.70 ,121.80 ,
WEST,,WEST,ABA-13638,,#16 SS HOSE CLAMP 1-1/16-1-1/2,,,,,,0 / 0,7.00,9.08 ,5.09 ,9.08 ,63.56 ,
WEST,,WEST,ABA-13644,,"#20 SS HOSE CLAMP 1-1/4-1-3/4""""""",,,,,,0 / 0,-2.00,9.52 ,5.29 ,9.52 ,0.00 ,
WEST,,WEST,ABA-13650,,"#24 SS HOSE CLAMP 1-1/2-2""""    """,,,,,,0 / 0,7.00,9.90 ,4.85 ,9.90 ,69.30 ,
